Comida,Precio
Bangers and mash,3211
Agua de pepino,1736
Burrito,8151
Waffles,6257
Aguamiel,4589
Menudo,14843
Gyros,18768
Bobotie,5381
Jollof rice,13215
Pambazo,11269
Chow mein,5296
Croissant,9234
Conchas,6022
Ramen,9866
Pozol,1882
Churros,8303
Arepa,15885
Churros,8388
Tamarindo,3333
Ploughman's lunch,4296
Bruschetta,10456
Clamato,6979
Bangers and mash,8614
Guajolote,14181
Agua de tuna,4322
Ceviche,8552
Tamales,10717
Aguamiel,8135
Molletes,12262
Menudo,17778
Mezcal,7536
Agua de alfalfa,11074
Cafe de olla,19930
Beef Wellington,13558
Guajolote,14081
Churros,1126
Sopes,3437
Curanto,17385
Arepa,7606
Chiles rellenos,9885
Agua de chia,15034
Sandwich,12039
Jollof rice,5123
Salsa verde,15718
Jambalaya,19323
Ramen,11712
Agua de perejil,18713
Ratatouille,7991
Entomatadas,5836
Pulque,18342
Gyros,1975
Chilaquiles,10183
Tamarindo,17779
Chimichanga,1618
Molletes,7902
Teriyaki,11212
Mezcal,1569
Agua de guayaba,7392
Hummus,10922
Tortilla espaniola,3843
Haggis,4275
Cazuela,5842
Mole poblano,13891
Gorditas,4127
Chakalaka,9623
Pierogi,5613
Agua de tuna,6151
Tlayudas,19070
Tamales,3637
Agua de linaza,16200
Buniuelos,18968
Gyros,3404
Carne asada,15433
Huaraches,6079
Borscht,9517
Chili con carne,9190
Antipasto,7217
Churrasco,11510
Aguamiel,17911
Agua de horchata,2518
Pad thai,18715
Rompope,1896
Agua de perejil,14568
Pinia colada,10922
Nachos,2199
Chiles en nogada,16703
Churrasco,17648
Taco,14023
Shawarma,6904
Ugali,11397
Agua de horchata,2022
Agua de linaza,18512
Curry,5188
Tlayudas,13271
Pan de muerto,14536
Tlayudas,14887
Aguamiel,3974
Agua de nopal,7989
Lobster roll,4657
Burrito,19618
Conchas,17017
Teriyaki,10653
Bouillabaisse,17598
Guacamole,16558
Gumbo,8811
Chapulines,16105
Agua de limon con chia,6017
Teriyaki,9921
Kofta,19268
Bibimbap,5378
Pipian,12572
Falafel,8217
Chelada,5718
Champurrado,9522
Agua de limon con chia,11017
Agua de jamaica,15947
Tacos al pastor,6806
Tacos al pastor,15532
Rompope,13396
Tequila,15988
Guacamole,16718
Ratatouille,11423
Champurrado,5366
Biryani,3244
Gyros,16857
Agua de papaya,7824
Rompope,10003
Agua de guayaba,12327
Goulash,16841
Beef Wellington,15245
Cannoli,6711
Tequila,18744
Menudo,8442
Gelato,13573
Sauerbraten,2687
Caldo de pollo,12261
Teriyaki,4330
Ugali,14747
Rosti,9221
Dim sum,11582
Kofta,2960
Kimchi,3959
Cassoulet,4828
Barbacoa,13604
Jamaica,13862
Haggis,4644
Tlacoyo,15585
Sauerbraten,15605
Gumbo,3235
Chocolate abuelita,3856
Pozol,14931
Caldo tlalpenio,8808
Haggis,14694
Beef Wellington,15702
Huevos rancheros,19562
Chimichanga,6385
Agua de pepino,4874
Agua de nopal,16861
Quesadilla,15990
Sandwich,13512
Raclette,18340
Agua de cebada,2720
Caldo de res,6138
Agua de jamaica,14767
Chapulines,4918
Tamarindo,12655
Agua de ciruela,12548
Rajas con crema,3437
Pipian,10822
Agua de tuna,12905
Agua de linaza,11912
Margarita,17059
Gnocchi,15109
Bibimbap,6607
Pinia colada,11436
Kofta,13739
Agua de durazno,2317
Tiramisu,14568
Bangers and mash,17991
Clam chowder,3095
Bunny chow,18378
Hummus,8190
Atole,5472
Barbacoa,13548
Pambazo,9492
Pierogi,15850
Pozol,7541
Agua de betabel,13177
Pasta,9267
Chelada,13246
Agua de pinia,5596
Chili con carne,17708
Pinia colada,4552
Carnitas,9652
Agua de pepino con limon,3943
Agua de platano,12620
Champurrado,5522
Chocolate abuelita,19914
Churrasco,9750
Croque monsieur,16007
Jollof rice,13073
Falafel,8957
Cafe de olla,13625
Agua de mango,17475
Agua de pepino,13626
Tlayudas,3514
Agua de pepino con limon,5811
Pozole,2709
Agua de durazno,15399
Bibimbap,14497
Ratatouille,11270
Jollof rice,5735
Licuado,19185
Black pudding,10604
Pan de muerto,18212
Rompope,10047
Agua de alfalfa,7842
Beef Wellington,13721
Empanada,10399
Bouillabaisse,18043
Caldo de pollo,4286
Fondue,18361
Sauerbraten,7802
Pinia colada,3328
Barbacoa,2080
Agua de zanahoria,19342
Tlacoyo,7949
Frito pie,1177
Rosti,11840
Biryani,7799
Tempura,7780
Jollof rice,7911
Gyros,4382
Huevos rancheros,11503
Chelada,13253
Cafe de olla,5025
Champurrado,17877
Gorditas,5062
Malva pudding,19005
Curry,6300
Tamarindo,7179
Churrasco,2623
Burrito,14956
Maki,18683
Rosti,17450
Rosti,9853
Tlacoyo,10167
Samosa,13940
Cazuela,8930
Horchata,16200
Agua de guayaba,15353
Barbacoa,7583
Rompope,19842
Churros,9586
Gelato,9112
Agua de nopal,18492
Teriyaki,2444
Nachos,6611
Ratatouille,9113
Gelato,16305
Birria,5971
Agua de nopal,19953
Agua de perejil,8058
Raclette,15003
Cazuela,13978
Aguachile,12946
Agua de tuna,3398
Maki,3786
Eton mess,6290
Lasagna,2454
Jambalaya,18316
Nachos,5715
Mole poblano,7336
Maki,7081
Cassoulet,13677
Paella,12652
Champurrado,10632
Flan,4364
Pipian,19957
Margarita,17491
Kofta,7454
Agua de chia,9600
Churros,2763
Cassoulet,19302
Empanada,6795
Borscht,10471
Tlayudas,2099
Tejuino,18165
Conchas,16895
Chakalaka,18595
Sushi,11463
Agua de nopal,6267
Fajitas,2816
Bratwurst,18275
Fajitas,19962
Quesadilla,12941
Salsa verde,4882
Gnocchi,19198
Caldo de camaron,9982
Ploughman's lunch,3756
Kofta,1693
Fajitas,15183
Chapulines,5903
Beef Wellington,3364
Jollof rice,8969
Gumbo,9062
Pierogi,19046
Cassoulet,9917
Agua de apio,19044
Teriyaki,18419
Jamaica,19957
Agua de avena,19321
Bobotie,2488
Biryani,12919
Ensalada,8697
Tacos al pastor,3871
Antipasto,4550
Chapulines,1982
Pierogi,13761
Curry,8457
Agua de tamarindo,1303
Menudo,5131
Beef Wellington,8333
Mezcal,6883
Pipian,6252
Caldo de camaron,15567
Pico de gallo,13212
Yorkshire pudding,4682
Agua de melon,17345
Agua de linaza,8794
Chimichanga,5882
Rompope,4467
Clamato,14860
Pinia colada,19730
Bouillabaisse,4377
Agua de betabel,3185
Black pudding,14487
Guajolote,15783
Tequila,17490
Tepache,16270
Bibimbap,8632
Rillettes,15307
Huevos rancheros,19128
Pad thai,5634
Agua de zanahoria,3904
Teriyaki,15436
Rosti,8309
Agua de platano,2412
Antipasto,12430
Crepes,3755
Antipasto,10896
Birria,8652
Gyros,8871
Sauerbraten,12365
Pico de gallo,4957
Bratwurst,11688
Huaraches,7515
Tequila,7371
Pico de gallo,12673
Maki,6762
Pizza,8802
Pierogi,11276
Agua de pinia,9901
Rillettes,1687
Frito pie,5613
Tamales oaxaquenios,3674
Creme brulee,19993
Mole poblano,13034
Baklava,14890
Lasagna,2572
Tacos al pastor,17116
Sauerbraten,15442
Tepache,2436
Sticky toffee pudding,11605
Pan de muerto,14012
Chakalaka,17530
Pasta,1375
Curanto,9992
Licuado,6363
Croque monsieur,5309
Croque monsieur,14444
Frito pie,8364
Caldo de camaron,19397
Tempura,8678
Tlacoyo,14854
Agua de perejil,8580
Falafel,8282
Rosti,3147
Cazuela,1797
Taco,10524
Sangrita,9590
Pho,1637
Fajitas,18091
Bangers and mash,15202
Agua de avena,1635
Flan,12423
Pinia colada,12565
Moussaka,10898
Mole poblano,10158
Sandwich,16990
Pastel de choclo,18845
Agua de perejil,12256
Bouillabaisse,12467
Guajolote,12055
Huevos rancheros,4152
Gyros,16057
Baklava,8568
Huaraches,2610
Guajolote,4860
Barbacoa,8594
Pan de muerto,19158
Agua de coco,6817
Rompope,10825
Teriyaki,1650
Tapas,7552
Tejuino,9779
Ceviche,6055
Guacamole,6939
Agua de jicama,2122
Cannoli,17855
Teriyaki,5143
Gumbo,13030
Croque monsieur,3065
Agua de pepino,5479
Pozole,16669
Carnitas,15663
Chili con carne,4366
Tiramisu,17794
Pho,3086
Rosti,4952
Gorditas,9254
Fufu,6701
Tamales,2335
